layers_config,activation,dropout_rate,optimizer,learning_rate,train_accuracy,val_accuracy,train_loss,val_loss,final_train_acc,final_val_acc,epochs_trained
"[128, 64, 32]",relu,0.2,rmsprop,0.001,0.6847342848777771,0.6773920655250549,0.6661374568939209,0.6791995763778687,0.6836756467819214,0.6773920655250549,50
"[128, 64, 32]",relu,0.2,adam,0.001,0.690874457359314,0.6731583476066589,0.6614409685134888,0.6780211925506592,0.686004638671875,0.6714648604393005,50
"[128, 64]",relu,0.2,adam,0.001,0.6953207850456238,0.6706181168556213,0.6580296158790588,0.6807195544242859,0.690874457359314,0.6638442277908325,50
"[128, 64]",relu,0.3,adam,0.001,0.6815583109855652,0.6689246296882629,0.6673327684402466,0.677014946937561,0.6815583109855652,0.6672311425209045,50
"[128, 64]",relu,0.2,rmsprop,0.0001,0.6646199226379395,0.6672311425209045,0.724487841129303,0.7029539346694946,0.6500105857849121,0.6596105098724365,50
"[128, 64]",tanh,0.2,adam,0.001,0.6705483794212341,0.6672311425209045,0.6950023174285889,0.6976452469825745,0.6684311032295227,0.6545300483703613,42
"[128, 64]",tanh,0.3,adam,0.001,0.6620792150497437,0.6672311425209045,0.7121167182922363,0.7025964260101318,0.6605970859527588,0.6502963304519653,50
"[128, 64, 32]",relu,0.2,adam,0.0001,0.662502646446228,0.6672311425209045,0.737938404083252,0.7039353847503662,0.6582680344581604,0.6663843989372253,50
"[64, 32]",tanh,0.2,adam,0.001,0.6665255427360535,0.6663843989372253,0.7152548432350159,0.7053594589233398,0.6616557240486145,0.6663843989372253,50
"[64, 32]",tanh,0.3,adam,0.001,0.6582680344581604,0.6655376553535461,0.726589024066925,0.7144977450370789,0.6529747843742371,0.6638442277908325,50
"[64, 32]",relu,0.2,adam,0.001,0.6758416295051575,0.6655376553535461,0.681256115436554,0.6788247227668762,0.6684311032295227,0.6570702791213989,50
"[128, 64]",tanh,0.2,rmsprop,0.001,0.674994707107544,0.6646909117698669,0.6912453770637512,0.6941748261451721,0.6694897413253784,0.6579170227050781,50
"[128, 64]",relu,0.2,rmsprop,0.001,0.6868515610694885,0.6646909117698669,0.6647300124168396,0.6802847385406494,0.6811348795890808,0.6587637662887573,50
"[128, 64]",relu,0.4,adam,0.001,0.6728774309158325,0.6646909117698669,0.6931772828102112,0.6874999403953552,0.6728774309158325,0.6596105098724365,50
"[128, 64]",relu,0.3,adam,0.0001,0.6569976806640625,0.6646909117698669,0.7401463985443115,0.706695556640625,0.6502223014831543,0.6638442277908325,50
"[128, 64, 32]",tanh,0.2,adam,0.001,0.6716070175170898,0.6646909117698669,0.6955040097236633,0.6914696097373962,0.6716070175170898,0.6570702791213989,50
"[64, 32]",tanh,0.4,adam,0.0001,0.6434469819068909,0.6638442277908325,0.7953800559043884,0.7550929188728333,0.6286258697509766,0.6562235355377197,50
"[128, 64, 32]",relu,0.4,adam,0.001,0.6641964912414551,0.6638442277908325,0.7010980248451233,0.6889690160751343,0.6599618792533875,0.6494496464729309,50
"[128, 64, 32]",relu,0.3,adam,0.001,0.6713953018188477,0.6638442277908325,0.6879487633705139,0.6835483908653259,0.6692780256271362,0.6629974842071533,50
"[64, 32]",relu,0.4,adam,0.001,0.662502646446228,0.6638442277908325,0.7110743522644043,0.6992676854133606,0.651492714881897,0.6511430740356445,50
"[64, 32]",relu,0.4,adam,0.0001,0.6440821290016174,0.6638442277908325,0.769540011882782,0.7353324890136719,0.6440821290016174,0.6553767919540405,50
"[64, 32]",tanh,0.4,rmsprop,0.001,0.6612322926521301,0.6638442277908325,0.7364909052848816,0.7238048315048218,0.6523396372795105,0.6629974842071533,50
"[64, 32]",tanh,0.2,rmsprop,0.0001,0.6563624739646912,0.6638442277908325,0.755418598651886,0.730463981628418,0.6481050252914429,0.6545300483703613,50
"[64, 32]",relu,0.3,adam,0.001,0.6646199226379395,0.6629974842071533,0.6985799670219421,0.6889407634735107,0.662502646446228,0.6570702791213989,50
"[128, 64, 32]",relu,0.3,rmsprop,0.001,0.6724539399147034,0.6629974842071533,0.6856309175491333,0.6849730014801025,0.6694897413253784,0.6562235355377197,50
"[64, 32]",relu,0.3,rmsprop,0.001,0.6669489741325378,0.6629974842071533,0.7031105160713196,0.6970963478088379,0.6669489741325378,0.6553767919540405,50
"[128, 64]",relu,0.4,rmsprop,0.001,0.6739360690116882,0.6629974842071533,0.6960813403129578,0.6883166432380676,0.6637730002403259,0.6570702791213989,50
"[128, 64, 32]",tanh,0.2,rmsprop,0.0001,0.6493753790855408,0.6621507406234741,0.7552801370620728,0.7213733792304993,0.6461994647979736,0.6502963304519653,50
"[64, 32]",relu,0.2,adam,0.0001,0.6574211120605469,0.6621507406234741,0.7472543120384216,0.7228225469589233,0.6565741896629333,0.6579170227050781,50
"[128, 64]",relu,0.3,rmsprop,0.001,0.674994707107544,0.6613039970397949,0.6848770976066589,0.687289297580719,0.674994707107544,0.6596105098724365,50
"[128, 64, 32]",tanh,0.3,rmsprop,0.001,0.6622909307479858,0.6613039970397949,0.7137719988822937,0.7061042785644531,0.6601735949516296,0.6494496464729309,50
"[64, 32]",tanh,0.2,rmsprop,0.001,0.6629260778427124,0.6604572534561157,0.7127562165260315,0.7145564556121826,0.6582680344581604,0.6536833047866821,46
"[128, 64, 32]",tanh,0.4,rmsprop,0.0001,0.6415414214134216,0.6604572534561157,0.7955941557884216,0.7612654566764832,0.6375185251235962,0.6494496464729309,50
"[128, 64]",tanh,0.4,rmsprop,0.001,0.6622909307479858,0.6604572534561157,0.7252150177955627,0.7096468806266785,0.6542451977729797,0.6502963304519653,50
"[128, 64]",tanh,0.3,rmsprop,0.001,0.6697014570236206,0.6604572534561157,0.7023424506187439,0.7007578015327454,0.6576328873634338,0.6596105098724365,50
"[128, 64]",tanh,0.4,adam,0.001,0.6610205173492432,0.6604572534561157,0.7208102345466614,0.7140042185783386,0.6550921201705933,0.6460626721382141,50
"[64, 32]",tanh,0.4,adam,0.001,0.656150758266449,0.6596105098724365,0.7342078685760498,0.7261682152748108,0.6519161462783813,0.6570702791213989,50
"[64, 32]",tanh,0.3,rmsprop,0.0001,0.6487402319908142,0.6596105098724365,0.780371367931366,0.7466090321540833,0.6398475766181946,0.6536833047866821,50
"[128, 64, 32]",tanh,0.3,adam,0.001,0.6618674397468567,0.6596105098724365,0.7114619016647339,0.7053220868110657,0.6565741896629333,0.6519898176193237,50
"[64, 32]",relu,0.2,rmsprop,0.0001,0.6527630686759949,0.6596105098724365,0.7395315766334534,0.7131966352462769,0.6527630686759949,0.6596105098724365,50
"[64, 32]",relu,0.4,rmsprop,0.001,0.6622909307479858,0.6587637662887573,0.7137625813484192,0.7042853832244873,0.6569976806640625,0.6460626721382141,50
"[128, 64]",relu,0.2,adam,0.0001,0.6644082069396973,0.6587637662887573,0.7186489701271057,0.7009420394897461,0.6589032411575317,0.6536833047866821,50
"[64, 32]",relu,0.2,rmsprop,0.001,0.6769002676010132,0.6587637662887573,0.6835477948188782,0.6932176947593689,0.6769002676010132,0.6562235355377197,50
"[64, 32]",tanh,0.3,rmsprop,0.001,0.660808801651001,0.6587637662887573,0.7227302193641663,0.7197849154472351,0.6544569134712219,0.6477561593055725,44
"[128, 64, 32]",relu,0.3,adam,0.0001,0.65128093957901,0.6587637662887573,0.7469787001609802,0.7263099551200867,0.6489519476890564,0.6452159285545349,50
"[64, 32]",relu,0.3,adam,0.0001,0.6495871543884277,0.6579170227050781,0.7655975222587585,0.7339296936988831,0.6474698185920715,0.6570702791213989,50
"[128, 64]",relu,0.3,rmsprop,0.0001,0.6580563187599182,0.6579170227050781,0.736947774887085,0.7099113464355469,0.6508575081825256,0.6545300483703613,50
"[128, 64]",tanh,0.4,adam,0.0001,0.6366716027259827,0.6579170227050781,0.7841496467590332,0.740585446357727,0.6318018436431885,0.6536833047866821,50
"[128, 64, 32]",tanh,0.2,adam,0.0001,0.6500105857849121,0.6579170227050781,0.7557291984558105,0.72450190782547,0.6464111804962158,0.6562235355377197,50
"[128, 64, 32]",relu,0.2,rmsprop,0.0001,0.6605970859527588,0.6579170227050781,0.7254670858383179,0.7072192430496216,0.6557272672653198,0.6486029028892517,50
"[128, 64, 32]",tanh,0.4,rmsprop,0.001,0.6641964912414551,0.6570702791213989,0.7277308106422424,0.718647837638855,0.6586915254592896,0.6426756978034973,50
"[128, 64, 32]",relu,0.4,rmsprop,0.001,0.6722422242164612,0.6562235355377197,0.7068366408348083,0.6956602334976196,0.662502646446228,0.6528365612030029,50
"[64, 32]",tanh,0.3,adam,0.0001,0.6457759737968445,0.6562235355377197,0.773865282535553,0.7506073117256165,0.6434469819068909,0.6553767919540405,50
"[64, 32]",tanh,0.4,rmsprop,0.0001,0.6461994647979736,0.6553767919540405,0.7838454246520996,0.7507476210594177,0.6396358013153076,0.6528365612030029,50
"[128, 64]",relu,0.4,rmsprop,0.0001,0.6483167409896851,0.6553767919540405,0.7574282884597778,0.7262697219848633,0.6426000595092773,0.6502963304519653,50
"[64, 32]",tanh,0.2,adam,0.0001,0.6468346118927002,0.6553767919540405,0.7636982798576355,0.7337045073509216,0.6430234909057617,0.6502963304519653,50
"[128, 64, 32]",relu,0.3,rmsprop,0.0001,0.6542451977729797,0.6553767919540405,0.7606208920478821,0.7251673936843872,0.6542451977729797,0.6477561593055725,50
"[128, 64, 32]",tanh,0.4,adam,0.001,0.6605970859527588,0.6553767919540405,0.7271718978881836,0.7109507322311401,0.6565741896629333,0.6460626721382141,50
"[128, 64]",tanh,0.3,rmsprop,0.0001,0.6459877490997314,0.6553767919540405,0.7732973098754883,0.7334256172180176,0.6459877490997314,0.6545300483703613,50
"[128, 64, 32]",tanh,0.2,rmsprop,0.001,0.6680076122283936,0.6545300483703613,0.6989162564277649,0.6925654411315918,0.6665255427360535,0.6545300483703613,50
"[128, 64, 32]",tanh,0.4,adam,0.0001,0.6421765685081482,0.6545300483703613,0.7979884743690491,0.7568826675415039,0.6375185251235962,0.6460626721382141,50
"[64, 32]",relu,0.3,rmsprop,0.0001,0.6517044305801392,0.6536833047866821,0.7587406039237976,0.7373400926589966,0.6489519476890564,0.6536833047866821,50
"[128, 64]",relu,0.4,adam,0.0001,0.6504340171813965,0.6536833047866821,0.7574473023414612,0.7231689691543579,0.6504340171813965,0.6494496464729309,50
"[64, 32]",relu,0.4,rmsprop,0.0001,0.6497988700866699,0.6536833047866821,0.7751197218894958,0.7370869517326355,0.6417531371116638,0.6536833047866821,50
"[128, 64, 32]",relu,0.4,rmsprop,0.0001,0.6487402319908142,0.6536833047866821,0.7706846594810486,0.7387416958808899,0.6487402319908142,0.6511430740356445,50
"[128, 64]",tanh,0.2,adam,0.0001,0.6500105857849121,0.6536833047866821,0.7499916553497314,0.7227596044540405,0.6428117752075195,0.6418289542198181,50
"[128, 64]",tanh,0.3,adam,0.0001,0.6481050252914429,0.6536833047866821,0.7597890496253967,0.7348912358283997,0.6421765685081482,0.6469094157218933,50
"[128, 64]",tanh,0.2,rmsprop,0.0001,0.6510692238807678,0.6528365612030029,0.7544875144958496,0.729666531085968,0.6489519476890564,0.6486029028892517,50
"[128, 64, 32]",relu,0.4,adam,0.0001,0.646622896194458,0.6528365612030029,0.7710006237030029,0.736581027507782,0.6453525424003601,0.6519898176193237,50
"[128, 64, 32]",tanh,0.3,rmsprop,0.0001,0.6548803448677063,0.6511430740356445,0.7656568884849548,0.7399945259094238,0.6489519476890564,0.6367484927177429,50
"[128, 64, 32]",tanh,0.3,adam,0.0001,0.6445056200027466,0.6502963304519653,0.7802718281745911,0.7425461411476135,0.6354012489318848,0.6418289542198181,50
"[128, 64]",tanh,0.4,rmsprop,0.0001,0.6457759737968445,0.6469094157218933,0.7721742391586304,0.7412914633750916,0.6360363960266113,0.6401354670524597,50
